index,contract,invoice_type,billing_type,1,2,3,4,5,6,7,8,9,10,11,12,fraud_consumption,fraud_flag,SERVICE_STATUS,POWER_SUSCRIBED,TARIFF,ACTIVITY_CMS,READWITH,SEGMENT,agency,zone,block
4972166,200235437,0,1,0,30,30,35,67,17,0,0,,,,,1901,1,2,2.2,1,6,1,5,824,21,0
4646029,200236826,0,1,2342,2069,2030,2097,2295,1988,2132,1926,1826,2119,1896,1997,8554,1,1,19.8,1,3,2,2,825,2,0
6503487,200236832,0,1,422,234,230,233,223,174,187,204,208,200,183,167,3168,1,1,6.6,1,3,1,2,825,2,0
1002724,200236835,0,1,327,476,183,774,491,500,419,542,470,549,496,532,1901,1,2,2.2,1,3,1,1,825,2,0
3626688,200237394,0,1,170,19,0,0,0,,6,0,0,0,0,,6653,1,2,2.2,1,6,1,5,825,2,0
705477,200237555,0,1,67,43,45,46,41,,,,,,,,1267,1,4,2.2,1,3,1,1,825,4,0
6587426,200238227,0,1,128,278,87,400,213,181,136,238,134,303,49,211,3168,1,4,2.2,1,3,1,1,825,2,0
141896,200238622,0,1,136,172,284,105,174,132,138,127,105,189,140,110,1901,1,1,2.2,1,6,1,5,825,3,0
10394047,200238713,0,1,138,171,181,158,162,147,160,161,133,163,149,144,950,1,4,2.2,1,6,1,5,825,3,0
2850329,200238718,0,1,184,174,227,179,198,195,195,180,183,204,185,1263,2851,1,2,2.2,1,10,3,1,825,3,0
7947665,200238718,0,2,184,174,227,179,198,195,195,180,183,204,185,1263,2851,1,2,2.2,1,10,3,1,825,3,0
7836261,200238828,0,1,2172,,3395,1654,820,,,,0,,,,42614,1,2,6.6,1,6,2,4,825,4,0
2159194,200239290,0,1,280,332,332,400,527,479,499,330,299,210,270,493,634,1,1,2.2,1,3,1,1,825,4,0
11337402,200239449,0,1,40,219,11,563,183,141,129,135,98,118,143,370,238,1,4,2.2,1,6,1,5,825,4,0
723154,200239654,0,1,291,300,261,273,268,245,263,278,250,234,263,255,634,1,1,2.2,1,3,1,1,825,5,0
4788659,200239853,0,1,310,370,309,310,294,324,305,153,386,267,289,510,3326,1,4,6.6,1,2,1,1,825,5,0
4782860,200241691,0,1,1363,1378,1366,1521,1599,1433,1363,1503,1315,1483,1355,6307,7603,1,1,33,1,15,2,2,825,6,0
6051743,200241694,0,2,242,244,247,270,290,263,250,280,237,284,0,500,1584,1,1,13.2,1,6,1,4,825,6,0
12097326,200241694,0,1,242,244,247,270,290,263,250,280,237,284,0,500,1584,1,1,13.2,1,6,1,4,825,6,0
13231737,200241781,0,1,361,,,381,4,192,,154,162,193,171,,1901,1,1,2.2,1,6,1,5,825,8,0
5335045,200241886,0,1,106,163,119,49,116,,,,,,,,3168,1,4,2.2,1,6,1,5,825,8,0
7649976,200243150,0,2,681,930,709,959,804,906,764,707,587,745,989,2853,3802,1,1,19.8,1,6,2,4,825,8,0
8761908,200243150,0,1,681,930,709,959,804,906,764,707,587,745,989,2853,3802,1,1,19.8,1,6,2,4,825,8,0
1945091,200243242,0,2,68,0,0,0,0,1,0,,0,299,15,0,1267,1,2,4.4,1,6,1,3,825,8,0
5149049,200243242,0,1,68,0,0,0,0,1,0,,0,299,15,0,1267,1,2,4.4,1,6,1,3,825,8,0
8211071,200243674,0,1,135,152,149,169,170,126,119,96,99,112,110,745,2851,1,1,6.6,1,6,1,3,825,9,0
7470746,200244067,0,1,760,986,180,192,199,133,53,31,33,32,30,4,3802,1,1,6.6,1,6,1,4,825,9,0
10885236,200244454,0,2,123,263,210,859,398,598,766,878,0,,,,3960,1,2,2.2,1,6,1,5,825,10,0
3486822,200244454,0,1,123,263,210,859,398,598,766,878,0,,,,3960,1,2,2.2,1,6,1,5,825,10,0
12362097,200244799,0,2,115,0,393,152,208,193,155,164,170,156,84,82,3326,1,1,2.2,1,6,1,5,825,12,0
1122432,200244799,0,1,115,0,393,152,208,193,155,164,170,156,84,82,3326,1,1,2.2,1,6,1,5,825,12,0
440811,200246928,0,2,4,5,0,3,89,119,71,51,289,103,94,134,1267,1,1,3.3,1,6,1,5,825,12,0
10449712,200246928,0,1,4,5,0,3,89,119,71,51,289,103,94,134,1267,1,1,3.3,1,6,1,5,825,12,0
8488301,200246930,0,1,121,150,141,0,0,0,0,0,0,,0,0,1901,1,2,3.3,1,6,1,5,825,12,0
7721419,200251299,0,2,130,130,0,,1810,438,273,371,345,349,306,418,11405,1,1,39.6,1,3,1,2,826,2,0
5791685,200251299,0,1,130,130,0,,1810,438,273,371,345,349,306,418,11405,1,1,39.6,1,3,1,2,826,2,0
13113832,200251714,0,2,173,165,238,177,103,0,0,225,143,20,,,1980,1,2,6.6,1,6,1,4,826,1,0
11600156,200251714,0,1,173,165,238,177,103,0,0,225,143,20,,,1980,1,2,6.6,1,6,1,4,826,1,0
3728563,200251724,0,1,35,36,2,155,123,24,43,79,67,21,41,80,3960,1,1,6.6,1,6,1,3,826,1,0
12275417,200252119,0,1,515,471,461,564,396,245,352,384,327,343,334,376,6653,1,1,19.8,1,3,1,2,826,3,0
9225126,200252495,0,1,,,,,,,,,,,0,0,7603,1,4,16.5,1,6,1,4,826,4,0
11233468,200252932,0,2,204,201,178,202,218,499,508,511,451,578,388,628,3960,1,1,2.2,1,6,1,5,826,3,0
1265343,200252932,0,1,204,201,178,202,218,499,508,511,451,578,388,628,3960,1,1,2.2,1,6,1,5,826,3,0
2626851,200253003,0,1,0,26,,,408,164,210,374,479,324,324,362,634,1,2,2.2,1,6,3,5,826,3,0
11605552,200253003,0,2,0,26,,,408,164,210,374,479,324,324,362,634,1,2,2.2,1,6,3,5,826,3,0
12027884,200253066,0,1,149,196,169,214,191,369,386,456,410,463,412,353,3960,1,1,19.8,1,6,1,4,826,5,0
4524097,200253365,0,2,145,0,1503,576,763,665,712,632,699,804,711,643,3168,1,4,33,1,3,2,2,826,5,0
8104961,200253365,0,1,145,0,1503,576,763,665,712,632,699,804,711,643,3168,1,4,33,1,3,2,2,826,5,0
11149507,200253880,0,1,284,266,244,212,222,246,302,362,213,305,87,165,1901,1,1,6.6,1,3,1,2,826,9,0
7907158,200254762,0,2,187,224,,,,,,0,,,0,0,1901,1,2,2.2,1,3,1,1,826,7,0
1861244,200254762,0,1,187,224,,,,,,0,,,0,0,1901,1,2,2.2,1,3,1,1,826,7,0
7844698,200255455,0,1,213,232,260,298,241,223,171,262,274,205,214,222,238,1,1,6.6,1,6,1,3,826,11,0
6249526,200256321,0,1,1219,,459,207,197,212,244,234,227,169,199,158,1584,1,1,13.2,1,6,1,4,826,11,0
10176143,200256835,0,2,625,312,1042,,,,,,,0,391,3,5702,1,4,6.6,1,6,1,4,826,14,0
12889046,200256835,0,1,625,312,1042,,,,,,,0,391,3,5702,1,4,6.6,1,6,1,4,826,14,0
9291189,200258069,0,1,446,322,351,458,445,450,410,349,276,387,372,405,6970,1,1,19.8,1,6,1,4,826,19,0
9307053,200258073,0,1,932,936,1453,1868,1444,901,289,250,225,218,250,231,8870,1,2,19.8,1,3,3,2,826,19,0
5172164,200260290,0,1,122,130,106,127,95,163,90,220,120,163,153,216,1584,1,4,6.6,1,6,1,3,826,15,0
4759093,200260308,0,1,58,64,114,104,116,104,49,84,118,118,130,220,1584,1,4,2.2,1,10,1,1,746,22,0
4291444,200260308,0,2,58,64,114,104,116,104,49,84,118,118,130,220,1584,1,4,2.2,1,10,1,1,746,22,0
6991681,200260549,0,1,84,236,308,339,362,359,160,353,493,416,419,352,1584,1,4,2.2,1,6,1,5,746,25,0
425407,200262665,0,1,,,,149,98,80,66,100,116,99,67,92,1901,1,1,2.2,1,6,1,5,827,3,0
7477715,200263342,0,1,140,307,268,395,423,448,394,288,268,296,311,81,1267,1,1,6.6,1,26,1,2,827,2,0
2403571,200263343,0,1,19,181,154,110,28,104,143,75,95,149,85,30,3960,1,1,2.2,1,3,1,1,827,2,0
541412,200266166,0,1,46,50,49,289,65,,,,,250,53,0,4277,1,1,13.2,1,6,1,3,827,7,0
8031822,200266166,0,2,46,50,49,289,65,,,,,250,53,0,4277,1,1,13.2,1,6,1,3,827,7,0
9182203,200266559,0,2,0,88,111,84,120,0,278,86,73,98,89,88,3168,1,4,6.6,1,3,1,1,827,8,0
2840441,200266559,0,1,0,88,111,84,120,0,278,86,73,98,89,88,3168,1,4,6.6,1,3,1,1,827,8,0
